#IMF [M/H]    Age      U      B      V      R      I      J      H      K     U-V    B-V    V-R    V-I    V-J    V-H     V-K      (M/L)U   (M/L)B   (M/L)V   (M/L)R   (M/L)I   (M/L)J   (M/L)H   (M/L)K  F439W  F555W  F675W F814W 439-555 555-675 555-814
#=========================================================================================================================================================================================================================================================
1.30  0.2223  0.1000   4.189  4.464  4.363  4.192  3.941  3.430  2.907  2.759 -0.174  0.101  0.171  0.422  0.934  1.457  1.604    0.080    0.119    0.193    0.230    0.243    0.227    0.188    0.173  4.475  4.365  4.156  3.960  0.109  0.210  0.405
1.30  0.2223  0.1122   4.295  4.540  4.436  4.269  4.029  3.532  3.024  2.880 -0.140  0.104  0.167  0.407  0.904  1.412  1.556    0.088    0.128    0.206    0.246    0.263    0.248    0.209    0.193  4.551  4.438  4.234  4.048  0.112  0.205  0.391
1.30  0.2223  0.1259   4.406  4.619  4.507  4.336  4.059  3.206  2.533  2.289 -0.101  0.112  0.171  0.447  1.301  1.973  2.218    0.097    0.137    0.219    0.261    0.269    0.183    0.132    0.111  4.629  4.510  4.300  4.077  0.119  0.210  0.433
1.30  0.2223  0.1413   4.517  4.698  4.582  4.414  4.149  3.346  2.696  2.460 -0.065  0.116  0.168  0.433  1.236  1.886  2.122    0.107    0.147    0.233    0.279    0.291    0.208    0.153    0.130  4.708  4.585  4.379  4.166  0.123  0.207  0.419
1.30  0.2223  0.1585   4.643  4.786  4.660  4.492  4.237  3.498  2.878  2.656 -0.017  0.126  0.168  0.423  1.162  1.782  2.003    0.120    0.158    0.250    0.299    0.314    0.238    0.180    0.155  4.796  4.664  4.457  4.254  0.132  0.207  0.410
1.30  0.2223  0.1778   4.770  4.875  4.736  4.567  4.316  3.616  3.019  2.809  0.034  0.139  0.169  0.420  1.120  1.717  1.927    0.134    0.171    0.267    0.319    0.337    0.264    0.205    0.178  4.885  4.741  4.531  4.334  0.145  0.210  0.407
1.30  0.2223  0.1995   4.914  4.976  4.822  4.653  4.408  3.752  3.182  2.984  0.091  0.153  0.169  0.414  1.071  1.640  1.838    0.153    0.187    0.288    0.344    0.365    0.298    0.237    0.208  4.986  4.828  4.617  4.427  0.158  0.211  0.401
1.30  0.2223  0.2239   5.059  5.072  4.901  4.726  4.481  3.840  3.286  3.095  0.158  0.171  0.174  0.420  1.060  1.615  1.806    0.174    0.204    0.308    0.366    0.389    0.322    0.260    0.230  5.082  4.907  4.689  4.500  0.176  0.218  0.407
1.30  0.2223  0.2512   5.212  5.177  4.985  4.804  4.553  3.897  3.341  3.148  0.227  0.193  0.181  0.432  1.088  1.643  1.837    0.199    0.224    0.332    0.392    0.414    0.339    0.272    0.240  5.188  4.991  4.765  4.572  0.197  0.227  0.419
1.30  0.2223  0.2818   5.349  5.281  5.070  4.884  4.628  3.958  3.402  3.206  0.279  0.211  0.187  0.442  1.112  1.669  1.864    0.226    0.245    0.358    0.420    0.442    0.357    0.287    0.253  5.292  5.077  4.843  4.648  0.215  0.234  0.429
1.30  0.2223  0.3162   5.484  5.394  5.157  4.957  4.690  4.012  3.456  3.260  0.327  0.237  0.200  0.466  1.145  1.701  1.897    0.254    0.271    0.386    0.448    0.466    0.373    0.300    0.264  5.405  5.165  4.914  4.711  0.240  0.251  0.454
1.30  0.2223  0.3548   5.616  5.509  5.244  5.029  4.749  4.053  3.493  3.296  0.372  0.265  0.215  0.495  1.191  1.751  1.948    0.286    0.300    0.417    0.477    0.491    0.387    0.310    0.272  5.521  5.254  4.983  4.771  0.267  0.271  0.483
1.30  0.2223  0.3981   5.760  5.637  5.344  5.113  4.822  4.106  3.540  3.340  0.416  0.294  0.231  0.522  1.238  1.803  2.004    0.326    0.337    0.455    0.513    0.523    0.404    0.322    0.283  5.651  5.355  5.064  4.845  0.295  0.291  0.510
1.30  0.2223  0.4467   5.902  5.769  5.442  5.196  4.895  4.152  3.579  3.377  0.459  0.327  0.246  0.547  1.291  1.863  2.066    0.370    0.379    0.497    0.552    0.557    0.420    0.333    0.291  5.784  5.455  5.144  4.919  0.329  0.310  0.536
1.30  0.2223  0.5012   6.041  5.905  5.539  5.274  4.961  4.193  3.613  3.409  0.502  0.365  0.265  0.578  1.346  1.926  2.130    0.419    0.428    0.541    0.591    0.590    0.435    0.342    0.299  5.921  5.553  5.219  4.987  0.368  0.333  0.566
1.30  0.2223  0.5623   6.192  6.053  5.645  5.358  5.025  4.250  3.666  3.462  0.547  0.408  0.287  0.619  1.394  1.978  2.183    0.479    0.488    0.594    0.636    0.624    0.457    0.358    0.313  6.071  5.660  5.299  5.052  0.412  0.361  0.608
1.30  0.2223  0.6310   6.341  6.201  5.751  5.444  5.098  4.312  3.724  3.519  0.590  0.450  0.307  0.653  1.439  2.027  2.232    0.548    0.557    0.653    0.686    0.664    0.482    0.376    0.328  6.222  5.768  5.381  5.126  0.454  0.387  0.642
1.30  0.2223  0.7079   6.504  6.357  5.865  5.537  5.173  4.377  3.784  3.578  0.639  0.492  0.328  0.692  1.488  2.081  2.287    0.634    0.641    0.722    0.744    0.709    0.509    0.396    0.345  6.381  5.883  5.470  5.202  0.498  0.413  0.681
1.30  0.2223  0.7943   6.679  6.515  5.977  5.627  5.247  4.435  3.836  3.629  0.702  0.538  0.350  0.730  1.542  2.142  2.348    0.742    0.739    0.798    0.806    0.756    0.535    0.413    0.361  6.543  5.997  5.557  5.278  0.546  0.440  0.718
1.30  0.2223  0.8913   6.855  6.669  6.088  5.717  5.320  4.488  3.881  3.673  0.767  0.581  0.371  0.768  1.600  2.208  2.415    0.870    0.848    0.880    0.872    0.806    0.560    0.429    0.374  6.700  6.109  5.644  5.352  0.592  0.465  0.756
1.30  0.2223  1.0000   7.020  6.809  6.188  5.799  5.387  4.543  3.931  3.724  0.832  0.620  0.389  0.801  1.645  2.257  2.464    1.008    0.960    0.961    0.936    0.853    0.586    0.448    0.390  6.843  6.209  5.723  5.420  0.634  0.487  0.789
1.30  0.2223  1.1220   7.195  6.956  6.298  5.891  5.465  4.609  3.992  3.786  0.897  0.658  0.407  0.833  1.689  2.305  2.512    1.179    1.095    1.059    1.015    0.913    0.621    0.472    0.412  6.994  6.319  5.812  5.499  0.675  0.507  0.820
1.30  0.2223  1.2589   7.355  7.082  6.384  5.956  5.513  4.648  4.025  3.820  0.971  0.698  0.427  0.870  1.736  2.359  2.564    1.361    1.226    1.141    1.074    0.951    0.641    0.484    0.423  7.125  6.406  5.875  5.549  0.719  0.532  0.857
1.30  0.2223  1.4125   7.508  7.178  6.417  5.951  5.471  4.588  3.947  3.743  1.091  0.761  0.466  0.946  1.829  2.470  2.674    1.560    1.333    1.172    1.064    0.910    0.604    0.449    0.392  7.228  6.440  5.864  5.508  0.788  0.576  0.932
1.30  0.2223  1.5849   7.693  7.320  6.505  5.998  5.443  4.396  3.676  3.438  1.188  0.815  0.507  1.062  2.109  2.829  3.067    1.839    1.509    1.263    1.104    0.882    0.503    0.348    0.294  7.377  6.529  5.907  5.481  0.849  0.622  1.047
1.30  0.2223  1.7783   7.903  7.563  6.774  6.282  5.755  4.836  4.163  3.952  1.129  0.789  0.492  1.019  1.938  2.611  2.823    2.216    1.877    1.607    1.425    1.168    0.749    0.541    0.469  7.617  6.798  6.193  5.795  0.819  0.605  1.003
1.30  0.2223  1.9953   8.078  7.719  6.910  6.407  5.870  4.957  4.285  4.077  1.168  0.809  0.502  1.040  1.953  2.625  2.833    2.592    2.155    1.813    1.592    1.292    0.833    0.602    0.524  7.775  6.934  6.317  5.911  0.841  0.617  1.023
1.30  0.2223  2.2387   8.250  7.861  7.028  6.514  5.964  5.047  4.373  4.167  1.221  0.833  0.514  1.064  1.981  2.655  2.862    3.023    2.446    2.013    1.748    1.402    0.901    0.650    0.567  7.920  7.053  6.422  6.006  0.868  0.631  1.047
1.30  0.2223  2.5119   8.428  8.012  7.159  6.633  6.069  5.135  4.454  4.247  1.270  0.853  0.525  1.089  2.024  2.705  2.912    3.550    2.801    2.261    1.943    1.539    0.974    0.698    0.608  8.074  7.184  6.540  6.112  0.891  0.643  1.071
1.30  0.2223  2.8184   8.607  8.156  7.279  6.742  6.166  5.221  4.535  4.328  1.327  0.877  0.537  1.114  2.059  2.744  2.951    4.170    3.187    2.518    2.141    1.677    1.050    0.749    0.653  8.222  7.305  6.648  6.210  0.917  0.657  1.095
1.30  0.2223  3.1623   8.785  8.288  7.383  6.833  6.247  5.300  4.615  4.409  1.402  0.905  0.550  1.136  2.083  2.768  2.974    4.892    3.584    2.760    2.318    1.800    1.126    0.803    0.701  8.358  7.409  6.738  6.292  0.949  0.671  1.117
1.30  0.2223  3.5481   8.941  8.402  7.473  6.911  6.315  5.350  4.658  4.450  1.469  0.930  0.562  1.158  2.123  2.815  3.023    5.630    3.967    2.986    2.482    1.909    1.174    0.832    0.725  8.476  7.499  6.815  6.361  0.977  0.684  1.138
1.30  0.2223  3.9811   9.098  8.533  7.589  7.021  6.416  5.425  4.725  4.511  1.509  0.943  0.568  1.173  2.165  2.865  3.078    6.483    4.458    3.313    2.737    2.088    1.253    0.882    0.764  8.609  7.616  6.924  6.462  0.993  0.692  1.153
1.30  0.2223  4.4668   9.230  8.640  7.683  7.109  6.502  5.522  4.827  4.617  1.546  0.956  0.574  1.182  2.162  2.857  3.067    7.292    4.903    3.601    2.958    2.252    1.366    0.966    0.839  8.718  7.710  7.012  6.549  1.008  0.698  1.161
1.30  0.2223  5.0119   9.295  8.722  7.776  7.206  6.601  5.620  4.926  4.716  1.519  0.946  0.571  1.175  2.157  2.850  3.061    7.719    5.272    3.908    3.221    2.458    1.489    1.054    0.916  8.799  7.803  7.109  6.649  0.996  0.694  1.154
1.30  0.2223  5.6234   9.439  8.842  7.883  7.305  6.693  5.702  5.006  4.794  1.556  0.959  0.578  1.190  2.181  2.877  3.089    8.776    5.862    4.295    3.517    2.665    1.600    1.130    0.981  8.921  7.910  7.208  6.742  1.010  0.702  1.169
1.30  0.2223  6.3096   9.603  8.984  8.014  7.429  6.808  5.808  5.108  4.896  1.590  0.970  0.585  1.206  2.206  2.905  3.118   10.181    6.662    4.829    3.929    2.955    1.758    1.239    1.075  9.065  8.041  7.332  6.858  1.023  0.710  1.183
1.30  0.2223  7.0795   9.744  9.101  8.121  7.530  6.904  5.888  5.185  4.970  1.623  0.981  0.590  1.216  2.232  2.935  3.151   11.555    7.403    5.315    4.303    3.219    1.888    1.326    1.147  9.184  8.149  7.433  6.955  1.035  0.716  1.193
1.30  0.2223  7.9433   9.886  9.215  8.220  7.623  6.990  5.960  5.252  5.033  1.666  0.995  0.597  1.231  2.261  2.968  3.187   13.142    8.197    5.811    4.674    3.474    2.011    1.406    1.213  9.300  8.249  7.525  7.042  1.051  0.724  1.207
1.30  0.2223  8.9125  10.028  9.326  8.319  7.714  7.075  6.044  5.337  5.120  1.709  1.008  0.604  1.243  2.275  2.981  3.199   14.929    9.057    6.343    5.069    3.747    2.167    1.517    1.309  9.414  8.348  7.617  7.129  1.066  0.731  1.219
1.30  0.2223 10.0000  10.161  9.433  8.414  7.803  7.158  6.127  5.422  5.206  1.747  1.019  0.611  1.256  2.287  2.992  3.208   16.826    9.965    6.904    5.485    4.032    2.333    1.635    1.414  9.523  8.443  7.705  7.213  1.080  0.738  1.231
1.30  0.2223 11.2202  10.304  9.542  8.505  7.886  7.232  6.191  5.483  5.266  1.799  1.036  0.620  1.273  2.315  3.022  3.240   19.147   10.982    7.492    5.903    4.306    2.468    1.725    1.490  9.634  8.535  7.787  7.288  1.099  0.748  1.247
1.30  0.2223 12.5893  10.458  9.658  8.605  7.976  7.314  6.259  5.548  5.329  1.853  1.053  0.629  1.291  2.345  3.056  3.275   22.003   12.190    8.188    6.399    4.630    2.622    1.828    1.576  9.754  8.635  7.877  7.371  1.119  0.758  1.264
1.30  0.2223 14.1254  10.607  9.771  8.702  8.066  7.397  6.341  5.631  5.413  1.905  1.069  0.637  1.306  2.361  3.072  3.290   25.183   13.495    8.936    6.932    4.986    2.819    1.967    1.697  9.870  8.733  7.967  7.456  1.137  0.766  1.277
1.30  0.2223 15.8489  10.758  9.891  8.809  8.165  7.486  6.415  5.701  5.481  1.948  1.081  0.645  1.324  2.395  3.108  3.329   28.861   15.034    9.839    7.575    5.397    3.010    2.093    1.802  9.993  8.841  8.066  7.547  1.152  0.775  1.294
1.30  0.2223 17.7828  10.898 10.005  8.913  8.261  7.573  6.488  5.772  5.550  1.985  1.092  0.652  1.340  2.425  3.141  3.363   32.751   16.656   10.798    8.257    5.834    3.214    2.229    1.916 10.109  8.945  8.162  7.636  1.163  0.783  1.310
